id,title,abstract,authors,categories,date
http://arxiv.org/abs/2401.07298v1,Efficient Frameworks for Generalized Low-Rank Matrix Bandit Problems,"In the stochastic contextual low-rank matrix bandit problem, the expected
reward of an action is given by the inner product between the action's feature
matrix and some fixed, but initially unknown $d_1$ by $d_2$ matrix $\Theta^*$
with rank $r \ll \{d_1, d_2\}$, and an agent sequentially takes actions based
on past experience to maximize the cumulative reward. In this paper, we study
the generalized low-rank matrix bandit problem, which has been recently
proposed in \cite{lu2021low} under the Generalized Linear Model (GLM)
framework. To overcome the computational infeasibility and theoretical restrain
of existing algorithms on this problem, we first propose the G-ESTT framework
that modifies the idea from \cite{jun2019bilinear} by using Stein's method on
the subspace estimation and then leverage the estimated subspaces via a
regularization idea. Furthermore, we remarkably improve the efficiency of
G-ESTT by using a novel exclusion idea on the estimated subspace instead, and
propose the G-ESTS framework. We also show that G-ESTT can achieve the
$\tilde{O}(\sqrt{(d_1+d_2)MrT})$ bound of regret while G-ESTS can achineve the
$\tilde{O}(\sqrt{(d_1+d_2)^{3/2}Mr^{3/2}T})$ bound of regret under mild
assumption up to logarithm terms, where $M$ is some problem dependent value.
Under a reasonable assumption that $M = O((d_1+d_2)^2)$ in our problem setting,
the regret of G-ESTT is consistent with the current best regret of
$\tilde{O}((d_1+d_2)^{3/2} \sqrt{rT}/D_{rr})$~\citep{lu2021low} ($D_{rr}$ will
be defined later). For completeness, we conduct experiments to illustrate that
our proposed algorithms, especially G-ESTS, are also computationally tractable
and consistently outperform other state-of-the-art (generalized) linear matrix
bandit methods based on a suite of simulations.","['Yue Kang', 'Cho-Jui Hsieh', 'Thomas C. M. Lee']","['stat.ML', 'cs.LG']",2024-01-14 14:14:19+00:00
http://arxiv.org/abs/2401.07231v3,Use of Prior Knowledge to Discover Causal Additive Models with Unobserved Variables and its Application to Time Series Data,"This paper proposes two methods for causal additive models with unobserved
variables (CAM-UV). CAM-UV assumes that the causal functions take the form of
generalized additive models and that latent confounders are present. First, we
propose a method that leverages prior knowledge for efficient causal discovery.
Then, we propose an extension of this method for inferring causality in time
series data. The original CAM-UV algorithm differs from other existing causal
function models in that it does not seek the causal order between observed
variables, but rather aims to identify the causes for each observed variable.
Therefore, the first proposed method in this paper utilizes prior knowledge,
such as understanding that certain variables cannot be causes of specific
others. Moreover, by incorporating the prior knowledge that causes precedes
their effects in time, we extend the first algorithm to the second method for
causal discovery in time series data. We validate the first proposed method by
using simulated data to demonstrate that the accuracy of causal discovery
increases as more prior knowledge is accumulated. Additionally, we test the
second proposed method by comparing it with existing time series causal
discovery methods, using both simulated data and real-world data.","['Takashi Nicholas Maeda', 'Shohei Shimizu']","['cs.LG', 'stat.ME', 'stat.ML']",2024-01-14 08:32:32+00:00
http://arxiv.org/abs/2401.07206v1,Probabilistic Reduced-Dimensional Vector Autoregressive Modeling with Oblique Projections,"In this paper, we propose a probabilistic reduced-dimensional vector
autoregressive (PredVAR) model to extract low-dimensional dynamics from
high-dimensional noisy data. The model utilizes an oblique projection to
partition the measurement space into a subspace that accommodates the
reduced-dimensional dynamics and a complementary static subspace. An optimal
oblique decomposition is derived for the best predictability regarding
prediction error covariance. Building on this, we develop an iterative PredVAR
algorithm using maximum likelihood and the expectation-maximization (EM)
framework. This algorithm alternately updates the estimates of the latent
dynamics and optimal oblique projection, yielding dynamic latent variables with
rank-ordered predictability and an explicit latent VAR model that is consistent
with the outer projection model. The superior performance and efficiency of the
proposed approach are demonstrated using data sets from a synthesized Lorenz
system and an industrial process from Eastman Chemical.","['Yanfang Mo', 'S. Joe Qin']","['stat.ML', 'cs.LG', 'cs.SY', 'eess.SY']",2024-01-14 05:38:10+00:00
http://arxiv.org/abs/2401.07187v3,"A Survey on Statistical Theory of Deep Learning: Approximation, Training Dynamics, and Generative Models","In this article, we review the literature on statistical theories of neural
networks from three perspectives: approximation, training dynamics and
generative models. In the first part, results on excess risks for neural
networks are reviewed in the nonparametric framework of regression (and
classification in Appendix~{\color{blue}B}). These results rely on explicit
constructions of neural networks, leading to fast convergence rates of excess
risks. Nonetheless, their underlying analysis only applies to the global
minimizer in the highly non-convex landscape of deep neural networks. This
motivates us to review the training dynamics of neural networks in the second
part. Specifically, we review papers that attempt to answer ``how the neural
network trained via gradient-based methods finds the solution that can
generalize well on unseen data.'' In particular, two well-known paradigms are
reviewed: the Neural Tangent Kernel (NTK) paradigm, and Mean-Field (MF)
paradigm. Last but not least, we review the most recent theoretical
advancements in generative models including Generative Adversarial Networks
(GANs), diffusion models, and in-context learning (ICL) in the Large Language
Models (LLMs) from two perpsectives reviewed previously, i.e., approximation
and training dynamics.","['Namjoon Suh', 'Guang Cheng']","['stat.ML', 'cs.LG', 'math.ST', 'stat.TH']",2024-01-14 02:30:19+00:00
http://arxiv.org/abs/2401.07174v1,On the (In)Compatibility between Group Fairness and Individual Fairness,"We study the compatibility between the optimal statistical parity solutions
and individual fairness. While individual fairness seeks to treat similar
individuals similarly, optimal statistical parity aims to provide similar
treatment to individuals who share relative similarity within their respective
sensitive groups. The two fairness perspectives, while both desirable from a
fairness perspective, often come into conflict in applications. Our goal in
this work is to analyze the existence of this conflict and its potential
solution. In particular, we establish sufficient (sharp) conditions for the
compatibility between the optimal (post-processing) statistical parity $L^2$
learning and the ($K$-Lipschitz or $(\epsilon,\delta)$) individual fairness
requirements. Furthermore, when there exists a conflict between the two, we
first relax the former to the Pareto frontier (or equivalently the optimal
trade-off) between $L^2$ error and statistical disparity, and then analyze the
compatibility between the frontier and the individual fairness requirements.
Our analysis identifies regions along the Pareto frontier that satisfy
individual fairness requirements. (Lastly, we provide individual fairness
guarantees for the composition of a trained model and the optimal
post-processing step so that one can determine the compatibility of the
post-processed model.) This provides practitioners with a valuable approach to
attain Pareto optimality for statistical parity while adhering to the
constraints of individual fairness.","['Shizhou Xu', 'Thomas Strohmer']","['math.ST', 'cs.CY', 'cs.LG', 'stat.ML', 'stat.TH']",2024-01-13 23:38:10+00:00
http://arxiv.org/abs/2401.07110v2,Hebbian Learning from First Principles,"Recently, the original storage prescription for the Hopfield model of neural
networks -- as well as for its dense generalizations -- has been turned into a
genuine Hebbian learning rule by postulating the expression of its Hamiltonian
for both the supervised and unsupervised protocols. In these notes, first, we
obtain these explicit expressions by relying upon maximum entropy extremization
\`a la Jaynes. Beyond providing a formal derivation of these recipes for
Hebbian learning, this construction also highlights how Lagrangian constraints
within entropy extremization force network's outcomes on neural correlations:
these try to mimic the empirical counterparts hidden in the datasets provided
to the network for its training and, the denser the network, the longer the
correlations that it is able to capture. Next, we prove that, in the big data
limit, whatever the presence of a teacher (or its lacking), not only these
Hebbian learning rules converge to the original storage prescription of the
Hopfield model but also their related free energies (and, thus, the statistical
mechanical picture provided by Amit, Gutfreund and Sompolinsky is fully
recovered). As a sideline, we show mathematical equivalence among standard Cost
functions (Hamiltonian), preferred in Statistical Mechanical jargon, and
quadratic Loss Functions, preferred in Machine Learning terminology. Remarks on
the exponential Hopfield model (as the limit of dense networks with diverging
density) and semi-supervised protocols are also provided.","['Linda Albanese', 'Adriano Barra', 'Pierluigi Bianco', 'Fabrizio Durante', 'Diego Pallara']","['cond-mat.dis-nn', 'stat.ML']",2024-01-13 16:19:49+00:00
http://arxiv.org/abs/2401.08691v1,Towards Responsible AI in Banking: Addressing Bias for Fair Decision-Making,"In an era characterized by the pervasive integration of artificial
intelligence into decision-making processes across diverse industries, the
demand for trust has never been more pronounced. This thesis embarks on a
comprehensive exploration of bias and fairness, with a particular emphasis on
their ramifications within the banking sector, where AI-driven decisions bear
substantial societal consequences. In this context, the seamless integration of
fairness, explainability, and human oversight is of utmost importance,
culminating in the establishment of what is commonly referred to as
""Responsible AI"". This emphasizes the critical nature of addressing biases
within the development of a corporate culture that aligns seamlessly with both
AI regulations and universal human rights standards, particularly in the realm
of automated decision-making systems. Nowadays, embedding ethical principles
into the development, training, and deployment of AI models is crucial for
compliance with forthcoming European regulations and for promoting societal
good. This thesis is structured around three fundamental pillars: understanding
bias, mitigating bias, and accounting for bias. These contributions are
validated through their practical application in real-world scenarios, in
collaboration with Intesa Sanpaolo. This collaborative effort not only
contributes to our understanding of fairness but also provides practical tools
for the responsible implementation of AI-based decision-making systems. In line
with open-source principles, we have released Bias On Demand and FairView as
accessible Python packages, further promoting progress in the field of AI
fairness.",['Alessandro Castelnovo'],"['stat.ML', 'cs.CY', 'cs.LG', 'stat.AP']",2024-01-13 14:07:09+00:00
http://arxiv.org/abs/2401.07012v1,An ADRC-Incorporated Stochastic Gradient Descent Algorithm for Latent Factor Analysis,"High-dimensional and incomplete (HDI) matrix contains many complex
interactions between numerous nodes. A stochastic gradient descent (SGD)-based
latent factor analysis (LFA) model is remarkably effective in extracting
valuable information from an HDI matrix. However, such a model commonly
encounters the problem of slow convergence because a standard SGD algorithm
only considers the current learning error to compute the stochastic gradient
without considering the historical and future state of the learning error. To
address this critical issue, this paper innovatively proposes an
ADRC-incorporated SGD (ADS) algorithm by refining the instance learning error
by considering the historical and future state by following the principle of an
ADRC controller. With it, an ADS-based LFA model is further achieved for fast
and accurate latent factor analysis on an HDI matrix. Empirical studies on two
HDI datasets demonstrate that the proposed model outperforms the
state-of-the-art LFA models in terms of computational efficiency and accuracy
for predicting the missing data of an HDI matrix.","['Jinli Li', 'Ye Yuan']","['cs.LG', 'cs.SY', 'eess.SY', 'stat.ML']",2024-01-13 08:38:54+00:00
http://arxiv.org/abs/2401.06980v1,Joint Unsupervised and Supervised Training for Automatic Speech Recognition via Bilevel Optimization,"In this paper, we present a novel bilevel optimization-based training
approach to training acoustic models for automatic speech recognition (ASR)
tasks that we term {bi-level joint unsupervised and supervised training
(BL-JUST)}. {BL-JUST employs a lower and upper level optimization with an
unsupervised loss and a supervised loss respectively, leveraging recent
advances in penalty-based bilevel optimization to solve this challenging ASR
problem with affordable complexity and rigorous convergence guarantees.} To
evaluate BL-JUST, extensive experiments on the LibriSpeech and TED-LIUM v2
datasets have been conducted. BL-JUST achieves superior performance over the
commonly used pre-training followed by fine-tuning strategy.","['A F M Saif', 'Xiaodong Cui', 'Han Shen', 'Songtao Lu', 'Brian Kingsbury', 'Tianyi Chen']","['cs.CL', 'cs.LG', 'stat.ML']",2024-01-13 05:01:47+00:00
http://arxiv.org/abs/2401.06925v2,Modeling Latent Selection with Structural Causal Models,"Selection bias is ubiquitous in real-world data, and can lead to misleading
results if not dealt with properly. We introduce a conditioning operation on
Structural Causal Models (SCMs) to model latent selection from a causal
perspective. We show that the conditioning operation transforms an SCM with the
presence of an explicit latent selection mechanism into an SCM without such
selection mechanism, which partially encodes the causal semantics of the
selected subpopulation according to the original SCM. Furthermore, we show that
this conditioning operation preserves the simplicity, acyclicity, and linearity
of SCMs, and commutes with marginalization. Thanks to these properties,
combined with marginalization and intervention, the conditioning operation
offers a valuable tool for conducting causal reasoning tasks within causal
models where latent details have been abstracted away. We demonstrate by
example how classical results of causal inference can be generalized to include
selection bias and how the conditioning operation helps with modeling of
real-world problems.","['Leihao Chen', 'Onno Zoeter', 'Joris M. Mooij']","['cs.AI', 'cs.LG', 'math.ST', 'stat.ME', 'stat.ML', 'stat.TH']",2024-01-12 23:14:34+00:00
