id,title,abstract,authors,categories,date
http://arxiv.org/abs/1808.05092v3,ACVAE-VC: Non-parallel many-to-many voice conversion with auxiliary classifier variational autoencoder,"This paper proposes a non-parallel many-to-many voice conversion (VC) method
using a variant of the conditional variational autoencoder (VAE) called an
auxiliary classifier VAE (ACVAE). The proposed method has three key features.
First, it adopts fully convolutional architectures to construct the encoder and
decoder networks so that the networks can learn conversion rules that capture
time dependencies in the acoustic feature sequences of source and target
speech. Second, it uses an information-theoretic regularization for the model
training to ensure that the information in the attribute class label will not
be lost in the conversion process. With regular CVAEs, the encoder and decoder
are free to ignore the attribute class label input. This can be problematic
since in such a situation, the attribute class label will have little effect on
controlling the voice characteristics of input speech at test time. Such
situations can be avoided by introducing an auxiliary classifier and training
the encoder and decoder so that the attribute classes of the decoder outputs
are correctly predicted by the classifier. Third, it avoids producing
buzzy-sounding speech at test time by simply transplanting the spectral details
of the input speech into its converted version. Subjective evaluation
experiments revealed that this simple method worked reasonably well in a
non-parallel many-to-many speaker identity conversion task.","['Hirokazu Kameoka', 'Takuhiro Kaneko', 'Kou Tanaka', 'Nobukatsu Hojo']","['stat.ML', 'cs.LG', 'cs.SD', 'eess.AS']",2018-08-13 23:31:01+00:00
http://arxiv.org/abs/1808.05140v6,A Framework for Automated Cellular Network Tuning with Reinforcement Learning,"Tuning cellular network performance against always occurring wireless
impairments can dramatically improve reliability to end users. In this paper,
we formulate cellular network performance tuning as a reinforcement learning
(RL) problem and provide a solution to improve the performance for indoor and
outdoor environments. By leveraging the ability of Q-learning to estimate
future performance improvement rewards, we propose two algorithms: (1) closed
loop power control (PC) for downlink voice over LTE (VoLTE) and (2)
self-organizing network (SON) fault management. The VoLTE PC algorithm uses RL
to adjust the indoor base station transmit power so that the signal to
interference plus noise ratio (SINR) of a user equipment (UE) meets the target
SINR. It does so without the UE having to send power control requests. The SON
fault management algorithm uses RL to improve the performance of an outdoor
base station cluster by resolving faults in the network through configuration
management. Both algorithms exploit measurements from the connected users,
wireless impairments, and relevant configuration parameters to solve a
non-convex performance optimization problem using RL. Simulation results show
that our proposed RL based algorithms outperform the industry standards today
in realistic cellular communication environments.","['Faris B. Mismar', 'Jinseok Choi', 'Brian L. Evans']","['cs.NI', 'cs.LG', 'stat.ML']",2018-08-13 22:46:41+00:00
http://arxiv.org/abs/1808.04475v2,Kernel Flows: from learning kernels from data into the abyss,"Learning can be seen as approximating an unknown function by interpolating
the training data. Kriging offers a solution to this problem based on the prior
specification of a kernel. We explore a numerical approximation approach to
kernel selection/construction based on the simple premise that a kernel must be
good if the number of interpolation points can be halved without significant
loss in accuracy (measured using the intrinsic RKHS norm $\|\cdot\|$ associated
with the kernel). We first test and motivate this idea on a simple problem of
recovering the Green's function of an elliptic PDE (with inhomogeneous
coefficients) from the sparse observation of one of its solutions. Next we
consider the problem of learning non-parametric families of deep kernels of the
form $K_1(F_n(x),F_n(x'))$ with $F_{n+1}=(I_d+\epsilon G_{n+1})\circ F_n$ and
$G_{n+1} \in \operatorname{Span}\{K_1(F_n(x_i),\cdot)\}$. With the proposed
approach constructing the kernel becomes equivalent to integrating a stochastic
data driven dynamical system, which allows for the training of very deep
(bottomless) networks and the exploration of their properties. These networks
learn by constructing flow maps in the kernel and input spaces via incremental
data-dependent deformations/perturbations (appearing as the cooperative
counterpart of adversarial examples) and, at profound depths, they (1) can
achieve accurate classification from only one data point per class (2) appear
to learn archetypes of each class (3) expand distances between points that are
in different classes and contract distances between points in the same class.
For kernels parameterized by the weights of Convolutional Neural Networks,
minimizing approximation errors incurred by halving random subsets of
interpolation points, appears to outperform training (the same CNN
architecture) with relative entropy and dropout.","['Houman Owhadi', 'Gene Ryan Yoo']","['stat.ML', 'cs.LG', '62J02, 68T01, 91C20']",2018-08-13 21:43:20+00:00
http://arxiv.org/abs/1808.04468v2,Risk-Sensitive Generative Adversarial Imitation Learning,"We study risk-sensitive imitation learning where the agent's goal is to
perform at least as well as the expert in terms of a risk profile. We first
formulate our risk-sensitive imitation learning setting. We consider the
generative adversarial approach to imitation learning (GAIL) and derive an
optimization problem for our formulation, which we call it risk-sensitive GAIL
(RS-GAIL). We then derive two different versions of our RS-GAIL optimization
problem that aim at matching the risk profiles of the agent and the expert
w.r.t. Jensen-Shannon (JS) divergence and Wasserstein distance, and develop
risk-sensitive generative adversarial imitation learning algorithms based on
these optimization problems. We evaluate the performance of our algorithms and
compare them with GAIL and the risk-averse imitation learning (RAIL) algorithms
in two MuJoCo and two OpenAI classical control tasks.","['Jonathan Lacotte', 'Mohammad Ghavamzadeh', 'Yinlam Chow', 'Marco Pavone']","['cs.LG', 'cs.AI', 'stat.ML']",2018-08-13 21:08:46+00:00
http://arxiv.org/abs/1808.04456v2,Multimodal Deep Neural Networks using Both Engineered and Learned Representations for Biodegradability Prediction,"Deep learning algorithms excel at extracting patterns from raw data, and with
large datasets, they have been very successful in computer vision and natural
language applications. However, in other domains, large datasets on which to
learn representations from may not exist. In this work, we develop a novel
multimodal CNN-MLP neural network architecture that utilizes both
domain-specific feature engineering as well as learned representations from raw
data. We illustrate the effectiveness of such network designs in the chemical
sciences, for predicting biodegradability. DeepBioD, a multimodal CNN-MLP
network is more accurate than either standalone network designs, and achieves
an error classification rate of 0.125 that is 27% lower than the current
state-of-the-art. Thus, our work indicates that combining traditional feature
engineering with representation learning can be effective, particularly in
situations where labeled data is limited.","['Garrett B. Goh', 'Khushmeen Sakloth', 'Charles Siegel', 'Abhinav Vishnu', 'Jim Pfaendtner']","['cs.LG', 'cs.AI', 'cs.CV', 'stat.ML']",2018-08-13 20:36:08+00:00
http://arxiv.org/abs/1808.04411v1,Murmur Detection Using Parallel Recurrent & Convolutional Neural Networks,"In this article, we propose a novel technique for classification of the
Murmurs in heart sound. We introduce a novel deep neural network architecture
using parallel combination of the Recurrent Neural Network (RNN) based
Bidirectional Long Short-Term Memory (BiLSTM) & Convolutional Neural Network
(CNN) to learn visual and time-dependent characteristics of Murmur in PCG
waveform. Set of acoustic features are presented to our proposed deep neural
network to discriminate between Normal and Murmur class. The proposed method
was evaluated on a large dataset using 5-fold cross-validation, resulting in a
sensitivity and specificity of 96 +- 0.6 % , 100 +- 0 % respectively and F1
Score of 98 +- 0.3 %.","['Shahnawaz Alam', 'Rohan Banerjee', 'Soma Bandyopadhyay']","['cs.SD', 'cs.LG', 'eess.AS', 'stat.ML']",2018-08-13 19:21:41+00:00
http://arxiv.org/abs/1808.06475v1,The perceived quality of process discovery tools,"Process discovery has seen a rise in popularity in the last decade for both
researchers and businesses. Recent developments mainly focused on the power and
the functionalities of the discovery algorithm. While continuous improvement of
these functional aspects is very important, non-functional aspects such as
visualization and usability are often overlooked. However, these aspects are
considered valuable for end-users and play an important part in the experience
of these end-users when working with a process discovery tool. A questionnaire
has been sent out to give end-users the opportunity to voice their opinion on
available process discovery tools and about the state of process discovery as a
domain in general. The results of 66 respondents are presented and compared
with the answers of 63 respondents that were contacted through one particular
software vendor's employee and customer base (i.e., Celonis).","['Francis Bru', 'Jan Claes']","['cs.CY', 'cs.LG', 'stat.ML']",2018-08-13 18:43:11+00:00
http://arxiv.org/abs/1808.04355v1,Large-Scale Study of Curiosity-Driven Learning,"Reinforcement learning algorithms rely on carefully engineering environment
rewards that are extrinsic to the agent. However, annotating each environment
with hand-designed, dense rewards is not scalable, motivating the need for
developing reward functions that are intrinsic to the agent. Curiosity is a
type of intrinsic reward function which uses prediction error as reward signal.
In this paper: (a) We perform the first large-scale study of purely
curiosity-driven learning, i.e. without any extrinsic rewards, across 54
standard benchmark environments, including the Atari game suite. Our results
show surprisingly good performance, and a high degree of alignment between the
intrinsic curiosity objective and the hand-designed extrinsic rewards of many
game environments. (b) We investigate the effect of using different feature
spaces for computing prediction error and show that random features are
sufficient for many popular RL game benchmarks, but learned features appear to
generalize better (e.g. to novel game levels in Super Mario Bros.). (c) We
demonstrate limitations of the prediction-based rewards in stochastic setups.
Game-play videos and code are at
https://pathak22.github.io/large-scale-curiosity/","['Yuri Burda', 'Harri Edwards', 'Deepak Pathak', 'Amos Storkey', 'Trevor Darrell', 'Alexei A. Efros']","['cs.LG', 'cs.AI', 'cs.CV', 'cs.RO', 'stat.ML']",2018-08-13 17:58:01+00:00
http://arxiv.org/abs/1808.04334v1,Angular-Based Word Meta-Embedding Learning,"Ensembling word embeddings to improve distributed word representations has
shown good success for natural language processing tasks in recent years. These
approaches either carry out straightforward mathematical operations over a set
of vectors or use unsupervised learning to find a lower-dimensional
representation. This work compares meta-embeddings trained for different
losses, namely loss functions that account for angular distance between the
reconstructed embedding and the target and those that account normalized
distances based on the vector length. We argue that meta-embeddings are better
to treat the ensemble set equally in unsupervised learning as the respective
quality of each embedding is unknown for upstream tasks prior to
meta-embedding. We show that normalization methods that account for this such
as cosine and KL-divergence objectives outperform meta-embedding trained on
standard $\ell_1$ and $\ell_2$ loss on \textit{defacto} word similarity and
relatedness datasets and find it outperforms existing meta-learning strategies.","[""James O' Neill"", 'Danushka Bollegala']","['cs.CL', 'cs.LG', 'stat.ML']",2018-08-13 17:20:20+00:00
http://arxiv.org/abs/1808.04327v1,Hidden Fluid Mechanics: A Navier-Stokes Informed Deep Learning Framework for Assimilating Flow Visualization Data,"We present hidden fluid mechanics (HFM), a physics informed deep learning
framework capable of encoding an important class of physical laws governing
fluid motions, namely the Navier-Stokes equations. In particular, we seek to
leverage the underlying conservation laws (i.e., for mass, momentum, and
energy) to infer hidden quantities of interest such as velocity and pressure
fields merely from spatio-temporal visualizations of a passive scaler (e.g.,
dye or smoke), transported in arbitrarily complex domains (e.g., in human
arteries or brain aneurysms). Our approach towards solving the aforementioned
data assimilation problem is unique as we design an algorithm that is agnostic
to the geometry or the initial and boundary conditions. This makes HFM highly
flexible in choosing the spatio-temporal domain of interest for data
acquisition as well as subsequent training and predictions. Consequently, the
predictions made by HFM are among those cases where a pure machine learning
strategy or a mere scientific computing approach simply cannot reproduce. The
proposed algorithm achieves accurate predictions of the pressure and velocity
fields in both two and three dimensional flows for several benchmark problems
motivated by real-world applications. Our results demonstrate that this
relatively simple methodology can be used in physical and biomedical problems
to extract valuable quantitative information (e.g., lift and drag forces or
wall shear stresses in arteries) for which direct measurements may not be
possible.","['Maziar Raissi', 'Alireza Yazdani', 'George Em Karniadakis']","['cs.CE', 'cs.LG', 'physics.flu-dyn', 'stat.ML']",2018-08-13 16:37:56+00:00
